nome_fantasia,razao_social,cnpj,area_atuacao,descricao,cep,logradouro,bairro,cidade,estado,website,facebook,instagram,twitter,youtube,fundacao,num_vol,num_vol_ano,nome_resp,sobrenome_resp,cargo_resp,nome_contato,num_doacoes,doacoes,obs_doacoes,email,telefone
Vieira S.A.,Vieira S.A. - EI,52.910.863/0001-08,Produção e comercialização coletiva,Expedita praesentium debitis ratione deleniti asperiores. Corrupti quidem voluptas earum pariatur reiciendis qui eveniet.,04993-933,Esplanada Jesus,São Gabriel,Mendes do Oeste,BA,https://vieira_s.a..com,https://facebook.com/vieira_s.a.,https://instagram.com/vieira_s.a.,81 935739701,https://youtube.com/vieira_s.a.,1997-07-02,3,5,Ana Carolina,Pereira,Escrivão,Davi Lucca,3,"produtos de higiene pessoal, móveis, prendas",Saepe possimus inventore odit culpa recusandae. Recusandae harum voluptatem dolorem sed sapiente.,vieira_s.a.@ig.com.br
Lopes,Lopes Ltda.,93.480.756/0001-66,Associações comunitárias,Illo sint voluptas eaque asperiores unde nulla doloribus. Magnam sapiente eius ex modi ad numquam. Doloremque saepe quod aut expedita ut a.,48957-063,Núcleo de da Mota,Boa Viagem,Viana,PI,https://lopes.br,https://facebook.com/lopes,https://instagram.com/lopes,51 901570286,https://youtube.com/lopes,1985-05-18,10,11,Stephany,Pinto,Atuário,Davi Luiz,4,"outros, roupas de cama, móveis, produtos de limpeza",Labore explicabo dolores sapiente quibusdam. Expedita provident eaque explicabo corporis odio fugit. Voluptatibus temporibus enim tempora dolores soluta.,lopes@gmail.com
Costa,Costa Ltda.,36.890.542/0001-24,Sanatório,"Nobis eius quo exercitationem minus debitis provident. Deleniti expedita iste.
Exercitationem modi consectetur assumenda rerum. Amet tempore temporibus. Eius facere at sequi quae corporis.",87819809,Quadra de Barbosa,Barão Homem De Melo 3ª Seção,da Mata da Prata,RS,https://costa.br,https://facebook.com/costa,https://instagram.com/costa,61 934765560,https://youtube.com/costa,1970-12-24,3,4,Ana Lívia,da Paz,Gourmet,Enzo Gabriel,3,"alimentos não perecíveis, roupas infantis, material escolar",Tenetur nisi praesentium eveniet doloribus odit. Consectetur assumenda ex velit occaecati nesciunt enim.,costa@uol.com.br
Moura S/A,Moura S/A Ltda.,18.346.029/0001-95,Assistência a idosos e adultos,"Omnis eius aspernatur eos tempora qui.
Minus unde ex sint blanditiis dolorum. Molestias incidunt dolor laboriosam qui nostrum sit. Aliquam ab ullam asperiores ea deserunt repudiandae.",64859-027,Trecho da Costa,Olaria,Costa,AC,https://moura_s/a.br,https://facebook.com/moura_s/a,https://instagram.com/moura_s/a,11 949474945,https://youtube.com/moura_s/a,1979-07-16,6,11,Raquel,Cavalcanti,Lactarista hospitalar,Enzo,1,produtos para bebês,"Nobis mollitia dicta doloribus. Beatae debitis voluptatibus dignissimos.
Sint rerum dolores molestiae hic quaerat. Ullam cupiditate adipisci vitae quasi.",moura_s/a@yahoo.com.br
Azevedo,Azevedo Ltda.,97.618.320/0001-41,Conservação recursos naturais,"Laborum nisi vero aliquam non impedit. Suscipit nihil sequi recusandae voluptatibus id quidem.
Repellendus natus distinctio at. Dolorem qui iusto.",52785804,Vale Yago Correia,Itapoa,Rezende de Gonçalves,PR,https://azevedo.net,https://facebook.com/azevedo,https://instagram.com/azevedo,71 967041108,https://youtube.com/azevedo,1994-04-23,13,24,Otávio,Freitas,Militar da Aeronáutica,Lucas Gabriel,2,"material de construção, produtos de higiene pessoal",Molestias ea molestiae optio. Necessitatibus expedita rerum possimus tempore officiis. Sequi culpa nam voluptates officiis dolorum.,azevedo@gmail.com
Rodrigues,Rodrigues e Filhos,14.973.258/0001-89,Ambientalismo,Consequatur nihil accusamus a eligendi delectus. Inventore reiciendis aperiam sunt totam perspiciatis cum. Consequatur laborum veniam.,36864109,Favela Marcelo Correia,Marilandia,Fernandes,GO,https://rodrigues.com,https://facebook.com/rodrigues,https://instagram.com/rodrigues,51 949515693,https://youtube.com/rodrigues,2018-01-23,7,10,Thiago,Campos,Ferreiro,Maria Fernanda,3,"produtos para bebês, móveis, ração para PETs",Deserunt dolore eaque ea. Eius temporibus est porro aliquid error rerum. Architecto ab qui illo.,rodrigues@gmail.com
da Mata,da Mata Ltda.,38.790.412/0001-45,Saúde,Rem deserunt aut perspiciatis maxime quod vel. Alias magni eveniet eveniet consequuntur quae.,06075-457,Pátio de Barros,Alto Das Antenas,Correia,ES,https://da_mata.com,https://facebook.com/da_mata,https://instagram.com/da_mata,41 978489366,https://youtube.com/da_mata,2008-12-28,15,29,Luiz Gustavo,Freitas,Feirante,Clarice,2,"sapatos, material de construção","Itaque velit culpa dignissimos.
Enim quos tempora iure soluta. Sapiente distinctio sunt vitae dignissimos corporis.
Sequi dolor amet deserunt id magnam molestiae.",da_mata@yahoo.com.br
Alves,Alves - ME,59.743.128/0001-98,Proteção dos direitos civis,"Tenetur officiis magnam harum voluptatum nemo.
Culpa maxime modi enim dolorum aperiam. Quae laudantium recusandae dolores.",97845-008,Jardim de da Rocha,Belmonte,Martins,PA,https://alves.br,https://facebook.com/alves,https://instagram.com/alves,21 917304873,https://youtube.com/alves,1977-09-20,5,8,Rafael,Gomes,Agente funerário,Isaac,4,"alimentos não perecíveis, roupas de adulto, sapatos, material de construção","Voluptatum modi earum similique dolores vitae voluptatem. Id ducimus dolorem eligendi officiis minus dicta.
Consequuntur recusandae iusto aliquid suscipit nisi tempore.",alves@bol.com.br
das Neves,das Neves Ltda.,08.264.517/0001-08,Tecnologias alternativas,"Culpa dignissimos fuga rem eligendi. Fugiat corporis numquam esse.
Tempora voluptatem recusandae quia rerum tempora consequatur. Sapiente atque nemo itaque.",79719-766,Pátio de Pires,Minaslandia,Oliveira da Serra,TO,https://das_neves.com,https://facebook.com/das_neves,https://instagram.com/das_neves,41 988932374,https://youtube.com/das_neves,1998-09-17,1,1,Vitor,da Cunha,Tabelião,Isis,4,"material escolar, produtos de limpeza, ração para PETs, produtos para bebês","Quod nemo doloremque. Laborum ducimus mollitia commodi dolore vitae laudantium ipsam.
Nesciunt nesciunt ipsa molestias quia culpa.",das_neves@bol.com.br
da Cruz Pires - ME,da Cruz Pires - ME S.A.,25.376.149/0001-09,Outros/Saúde,"Neque consectetur deserunt ipsa sed. Vel atque nesciunt iure voluptatem nesciunt vel.
Officia nam commodi unde quidem quidem. Veritatis nulla commodi ipsam culpa.",70291375,Lago Gonçalves,Fazendinha,Caldeira da Prata,AL,https://da_cruz_pires_-_me.com,https://facebook.com/da_cruz_pires_-_me,https://instagram.com/da_cruz_pires_-_me,71 962463690,https://youtube.com/da_cruz_pires_-_me,2018-12-29,2,3,Isaac,Gomes,Senador,Davi,1,cobertores e cobertas,"Nisi quisquam facilis repellat. Dicta animi possimus earum sint dolorum. Officia magnam quo cupiditate.
At sed natus sequi. Tempora nisi molestiae illum sint doloribus adipisci.",da_cruz_pires_-_me@yahoo.com.br
